HID,TYPE,DIAMETRE,X,Y,ADRESSE,REPERES,ETAT,DEPARTEMENT,PAYS
67,Poteau incendie ,66 X65 /100 mm,236290,1626222,Lycée John Kennedy ,en face Bâtiment B,Non Fonctionnel,Dakar,Senegal
68,Poteau incendie ,100 mm,241564,1623135,Rue hesse,,Fonctionnel,Dakar,Senegal
69,Poteau incendie ,100 mm,241738,1622965,Rue du Port ,en face porte du jardin,Fonctionnel,Dakar,Senegal
70,Poteau incendie ,100 mm,241819,1622886,Rue de la compagnie,,Fonctionnel,Dakar,Senegal
71,Poteau incendie ,100 mm,241685,1622855,Rue du Castel ,hauteur église,Non Fonctionnel,Dakar,Senegal
72,Poteau incendie ,100 mm,241550,1623041,Rue Saint Joseph,,Fonctionnel,Dakar,Senegal
73,Bouche incendie  ,100 mm,239363,1630226,Cite Elisabeth   DIOUF N 14,,Non Fonctionnel,Dakar,Senegal
81,Bouche incendie  ,100 mm,235658,1628378,Sicap Liberté 3 villa 2103 ,derrière police Dieuppeul,Non Fonctionnel,Dakar,Senegal
82,Bouche incendie  ,100 mm,236909,1628354,HLM 1 villa n°458 ,en face mosquée,Non Fonctionnel,Dakar,Senegal
83,Bouche incendie  ,100 mm,236951,1627779,HLM 4 N°1293 ,en face alimentation générale de l’avenir,Non Fonctionnel,Dakar,Senegal
84,Bouche incendie  ,100 mm,236636,1628332,HLM 2 N°637 ,en face immeuble Khady MBENGUE,Non Fonctionnel,Dakar,Senegal
85,Bouche incendie  ,100 mm,236958,1628436,HLM 1 N°775 ,en face résidence CAMÄRA,Non Fonctionnel,Dakar,Senegal
86,Bouche incendie  ,100 mm,236781,1628207,HLM 2 n°554 ,en face banque régionale du Sénégal,Non Fonctionnel,Dakar,Senegal
87,Bouche incendie  ,100 mm,236697,1628327,HLM n°616,,Non Fonctionnel,Dakar,Senegal
88,Bouche incendie  ,100 mm,236513,1628980,HLM n°32 bourguiba ,en face SENELEC,Non Fonctionnel,Dakar,Senegal
89,Poteau incendie  ,100 mm,237027,1630776,Zone de captage ,en face école Franco Arabe,Non Fonctionnel,Dakar,Senegal
90,Bouche incendie  ,100 mm,236374,1630838,Marché Grand Yoff ,en allant vers liberté 6 hauteur boutique SAMSUMG,Non Fonctionnel,Dakar,Senegal
91,Bouche incendie  ,100 mm,236986,1633190,Unité 17 villa 001 ,au carrefour en face unité 20 et 16,Non Fonctionnel,Dakar,Senegal
92,Bouche incendie  ,100 mm,238449,1634284,Cambérène 1 ,en face Khalif Général des Layennes hauteur Pharmacie Ahlou Lahi ,Non Fonctionnel,Dakar,Senegal
93,Bouche incendie  ,100 mm,238962,1634372,Cambérène 2 ,en face cimetière hauteur Kanel Boutique ,Non Fonctionnel,Dakar,Senegal
94,Bouche incendie  ,100 mm,237327,1633256,Unité 17 ,en face ONAS hauteur SDE,Non Fonctionnel,Dakar,Senegal
95,Poteau incendie  ,100 mm,237072,1631333,Patte d’Oie Bulders, en face Mosquée Serigne Modou Boussou DIENG,Non Fonctionnel,Dakar,Senegal
